"Date","Time","group name","Distance along tape","Distance along tape","Plant type?","Litter","Groundcover Identification","Ground Cover","Trees/shrubs identification","Active Burrows","Inactive Burrows",">2cm","DunePostition","Latitude","Longitude","Accuracy"
"2/07/2015","8:20:42 AM","green sophie","","","","","","","","","","","","","",""
"2/07/2015","8:22:23 AM","green sophie","","","","","","","","","","","","-25.59886659","153.09136374","1.6"
"2/07/2015","8:41:18 AM","green sophie","100","","Litter Cover","0.25","","","","","","","","","",""
"2/07/2015","8:47:31 AM","green sophie","100","","Groundcover Plants","","Beach Spinifex","4.5","","","","","","","",""
"2/07/2015","8:49:25 AM","green sophie","100","","Crab data","","","","","2","0","0","","","",""
"2/07/2015","8:50:54 AM","green sophie","","100","Dune Position","","","","","","","","Upslope","-25.5962487","153.09587638","0.3"
"2/07/2015","8:57:58 AM","green sophie","0","","Litter Cover","1.5","","","","","","","","","",""
"2/07/2015","8:58:35 AM","green sophie","0","","Crab data","","","","","0","0","0","","","",""
"2/07/2015","8:58:46 AM","green sophie","","0","Dune Position","","","","","","","","Trough","-25.59558008","153.09610294","0.3"
"2/07/2015","8:59:25 AM","green sophie","5","","Litter Cover","0","","","","","","","","","",""
"2/07/2015","9:00:01 AM","green sophie","5","","Groundcover Plants","","Beach Spinifex","4","","","","","","","",""
"2/07/2015","9:00:15 AM","green sophie","5","","Crab data","","","","","0","0","0","","","",""
"2/07/2015","9:00:25 AM","green sophie","","5","Dune Position","","","","","","","","Upslope","-25.59561373","153.09605641","0.3"
"2/07/2015","9:00:51 AM","green sophie","10","","Litter Cover","0","","","","","","","","","",""
"2/07/2015","9:01:04 AM","green sophie","10","","Groundcover Plants","","Beach Spinifex","2","","","","","","","",""
"2/07/2015","9:01:15 AM","green sophie","10","","Crab data","","","","","0","0","0","","","",""
"2/07/2015","9:01:29 AM","green sophie","","10","Dune Position","","","","","","","","Crest","-25.59557005","153.09601696","0.3"
"2/07/2015","9:02:03 AM","green sophie","15","","Litter Cover","0","","","","","","","","","",""
"2/07/2015","9:02:25 AM","green sophie","15","","Groundcover Plants","","Beach Spinifex","3","","","","","","","",""
"2/07/2015","9:02:43 AM","green sophie","15","","Crab data","","","","","0","0","0","","","",""
"2/07/2015","9:02:53 AM","green sophie","","15","Dune Position","","","","","","","","Crest","-25.5955598","153.09597074","0.3"
"2/07/2015","9:03:32 AM","green sophie","20","","Litter Cover","0","","","","","","","","","",""
"2/07/2015","9:03:42 AM","green sophie","20","","Crab data","","","","","0","0","0","","","",""
"2/07/2015","9:03:52 AM","green sophie","","20","Dune Position","","","","","","","","Trough","-25.59554307","153.09592664","0.4"
"2/07/2015","9:11:14 AM","green sophie","25","","Litter Cover","3","","","","","","","","","",""
"2/07/2015","9:12:39 AM","green sophie","25","","Groundcover Plants","","Beach Couch","9","","","","","","","",""
"2/07/2015","9:13:25 AM","green sophie","25","","Crab data","","","","","0","2","0","","","",""
