"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"28/06/2015","12:26:32 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 6","","True","","True","","True","Leaf 5","","60","1","0"
"28/06/2015","12:26:48 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 6","","True","","True","","True","Leaf 6","True","60","0","0"
"28/06/2015","12:27:08 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 1","True","30","0","0"
"28/06/2015","12:27:15 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 2","True","10","0","0"
"28/06/2015","12:27:23 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 3","","1","0","0"
"28/06/2015","12:27:30 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 4","","5","0","0"
"28/06/2015","12:27:38 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 5","True","20","0","0"
"28/06/2015","12:27:54 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 7","","True","True","","","True","Leaf 6","","","0","0"
"28/06/2015","12:28:38 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 1","True","40","1","0"
"28/06/2015","12:29:00 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 2","","30","0","0"
"28/06/2015","12:29:12 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 3","","20","0","0"
"28/06/2015","12:29:29 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 4","True","45","0","0"
"28/06/2015","12:29:55 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 5","","10","0","1"
"28/06/2015","12:30:52 PM","gary","","","","Seaward","Low","15","quarter 1","8.8","7","165","stem 8","True","","True","","True","","Leaf 6","","5","0","1"
"28/06/2015","12:36:47 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 1","","10","0","0"
"28/06/2015","12:36:59 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 2","True","15","0","0"
"28/06/2015","12:37:38 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 3","True","30","0","2"
"28/06/2015","12:37:54 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 4","True","75","0","0"
"28/06/2015","12:38:13 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 5","True","40","0","0"
"28/06/2015","12:38:23 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 1","True","","","True","True","","Leaf 6","True","70","0","0"
"28/06/2015","12:39:00 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 1","True","50","0","0"
"28/06/2015","12:39:12 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 2","True","5","0","0"
"28/06/2015","12:39:27 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 3","True","30","0","0"
"28/06/2015","12:39:39 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 4","True","0","0","0"
"28/06/2015","12:39:48 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 5","True","5","0","4"
"28/06/2015","12:40:03 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 2","","True","","","","","Leaf 6","","100","0","0"
"28/06/2015","12:40:42 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 1","","10","0","0"
"28/06/2015","12:40:57 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 2","","5","0","0"
"28/06/2015","12:41:07 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 3","True","20","0","0"
"28/06/2015","12:41:17 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 4","True","10","0","0"
"28/06/2015","12:41:35 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 5","True","50","0","0"
"28/06/2015","12:41:51 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 3","True","","True","","","","Leaf 6","True","10","0","1"
"28/06/2015","12:42:27 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 1","True","5","0","0"
"28/06/2015","12:42:36 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 2","True","5","0","0"
"28/06/2015","12:42:46 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 3","True","10","0","5"
"28/06/2015","12:42:58 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 3","True","10","0","1"
"28/06/2015","12:43:53 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 4","True","5","0","1"
"28/06/2015","12:44:07 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 5","True","20","0","0"
"28/06/2015","12:44:29 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 4","True","","True","","True","","Leaf 6","","0","0","0"
"28/06/2015","12:44:56 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 1","True","5","0","0"
"28/06/2015","12:45:03 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 2","True","1","0","0"
"28/06/2015","12:45:16 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 3","True","5","0","0"
"28/06/2015","12:45:21 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 4","True","1","0","0"
"28/06/2015","12:45:34 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 5","True","25","1","0"
"28/06/2015","12:45:44 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 5","True","","","","","","Leaf 6","True","1","0","0"
"28/06/2015","12:46:46 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 1","True","50","0","1"
"28/06/2015","12:46:55 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 2","True","10","0","0"
"28/06/2015","12:47:04 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 3","True","25","0","0"
"28/06/2015","12:47:17 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 4","True","5","0","0"
"28/06/2015","12:47:30 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 5","True","30","0","0"
"28/06/2015","12:47:37 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 6","","True","","True","","True","Leaf 6","","2","0","0"
"28/06/2015","12:47:54 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 1","True","90","0","0"
"28/06/2015","12:47:59 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 2","True","1","0","0"
"28/06/2015","12:48:11 PM","gary","","","","Seaward","Low","15","quarter 2","10.8","8","90","stem 7","True","","","","","","Leaf 3","True","30","0","1"
