"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"27/06/2015","3:44:56 PM","","","Red Team","16x8","Ozothamnus sp.",1,"blue"
"27/06/2015","9:57:03 AM","","","scv","1x1","unknown sp1",1,"blue"
"27/06/2015","3:21:00 PM","","","Red Team","2x1","unknown sp1",1,"blue"
"27/06/2015","9:10:14 AM","","","blue site 1","1x1","unknown sp1",1,"blue"
"27/06/2015","10:14:26 AM","","","scv","8x4","unknown sp3",1,"blue"
"27/06/2015","3:32:45 PM","","","Red Team","8x4","unknown sp3",1,"blue"
"27/06/2015","9:27:51 AM","","","blue site 1","8x4","unknown sp3",1,"blue"
"27/06/2015","10:39:58 AM","","","scv","16x8","unknown sp4",1,"blue"
"27/06/2015","3:37:21 PM","","","Red Team","8x8","unknown sp4",1,"blue"
"27/06/2015","9:33:39 AM","","","blue site 1","8x8","unknown sp4",1,"blue"
