"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"28/06/2015","10:00:15 AM","","","GreenScrigglyGum","4x2","Xylomelum salicinum",1,"green"
"28/06/2015","10:08:39 AM","","","GreenScrigglyGum","4x4","unknown sp2",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Angophora leiocarpa",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Commelina diffusa",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Hibbertia linearis",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","Lomandra confertifolia",1,"green"
"28/06/2015","10:16:49 AM","","","GreenScrigglyGum","8x4","unknown sp3",1,"green"
"28/06/2015","10:21:00 AM","","","GreenScrigglyGum","8x8","Dianella caerulea",1,"green"
"28/06/2015","10:21:00 AM","","","GreenScrigglyGum","8x8","Monotoca sp. Fraser Island",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","Casuarina glauca",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","Ricinocarpos pinifolius",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","unknown sp4",1,"green"
"28/06/2015","10:30:25 AM","","","GreenScrigglyGum","16x8","unknown sp5",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","Banksia integrifolia subsp. integrifolia",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","Schizaea bifida",1,"green"
"28/06/2015","10:39:31 AM","","","GreenScrigglyGum","16x16","unknown sp6",1,"green"
"28/06/2015","9:53:25 AM","","","GreenScrigglyGum","1x1","Lomandra obliqua",1,"green"
"28/06/2015","9:53:25 AM","","","GreenScrigglyGum","1x1","Pteridium esculentum",1,"green"
"28/06/2015","9:57:34 AM","","","GreenScrigglyGum","2x2","unknown sp1",1,"green"
