"Date","Time","Group Name","Latitude","Longitude","Altitude","Forest Type","Hole Diameter"
"28/06/2015","6:27:55 PM","Rachel line transect to fix","","","","Medium Open","23"
"28/06/2015","6:28:16 PM","Rachel line transect to fix","","","","Medium Open","27"
"28/06/2015","6:28:26 PM","Rachel line transect to fix","","","","Medium Open","25"
"28/06/2015","6:28:37 PM","Rachel line transect to fix","","","","Medium Open","25"
"28/06/2015","6:28:44 PM","Rachel line transect to fix","","","","Medium Open","28"
"28/06/2015","6:28:53 PM","Rachel line transect to fix","","","","Medium Open","27"
"28/06/2015","6:29:01 PM","Rachel line transect to fix","","","","Medium Open","27"
"28/06/2015","6:29:08 PM","Rachel line transect to fix","","","","Medium Open","25"
"28/06/2015","6:29:17 PM","Rachel line transect to fix","","","","Medium Open","30"
"28/06/2015","6:29:23 PM","Rachel line transect to fix","","","","Medium Open","30"
"28/06/2015","6:29:30 PM","Rachel line transect to fix","","","","Medium Open",""
"28/06/2015","6:29:37 PM","Rachel line transect to fix","","","","Medium Open","25"
"28/06/2015","6:29:45 PM","Rachel line transect to fix","","","","Medium Open","21"
"28/06/2015","6:29:53 PM","Rachel line transect to fix","","","","Medium Open","20"
"28/06/2015","6:30:02 PM","Rachel line transect to fix","","","","Medium Open","2"
"28/06/2015","6:30:10 PM","Rachel line transect to fix","","","","Medium Open","12"
"28/06/2015","6:30:17 PM","Rachel line transect to fix","","","","Medium Open","32"
"28/06/2015","6:30:25 PM","Rachel line transect to fix","","","","Medium Open","21"
"28/06/2015","6:30:32 PM","Rachel line transect to fix","","","","Medium Open","24"
"28/06/2015","6:30:40 PM","Rachel line transect to fix","","","","Medium Open","15"
"28/06/2015","6:30:47 PM","Rachel line transect to fix","","","","Medium Open","19"
"28/06/2015","6:30:53 PM","Rachel line transect to fix","","","","Medium Open",""
"28/06/2015","6:31:09 PM","Rachel line transect to fix","","","","Tall Open","12"
"28/06/2015","6:31:18 PM","Rachel line transect to fix","","","","Tall Open",""
